report_date,borough,community_districts,family_with_children_commercial_hotel,family_with_children_shelter,family_cluster
2025-10-31,Bronx,11.0,,,
2025-10-31,Bronx,10.0,,525.0,
2025-10-31,Bronx,1.0,215.0,1448.0,
2025-09-30,Bronx,9.0,288.0,1492.0,
2025-09-30,Bronx,10.0,,526.0,
2025-09-30,Bronx,11.0,,,
2025-09-30,Bronx,12.0,358.0,1063.0,
2025-09-30,Brooklyn,1.0,470.0,,
2025-09-30,Brooklyn,2.0,,101.0,
2025-09-30,Brooklyn,3.0,431.0,401.0,
2025-09-30,Bronx,1.0,210.0,1439.0,
2025-09-30,Bronx,6.0,1202.0,1787.0,
2025-09-30,Bronx,7.0,418.0,905.0,
2025-09-30,Bronx,5.0,150.0,1112.0,
2025-09-30,Bronx,4.0,295.0,2029.0,
2025-09-30,Bronx,3.0,,1309.0,
2025-09-30,Brooklyn,4.0,32.0,808.0,
2025-09-30,Brooklyn,5.0,623.0,1001.0,
2025-09-30,Bronx,8.0,,613.0,
2025-09-30,Brooklyn,6.0,331.0,482.0,
2025-09-30,Brooklyn,7.0,271.0,361.0,
2025-09-30,Brooklyn,8.0,,554.0,
2025-09-30,Brooklyn,9.0,,354.0,
2025-09-30,Brooklyn,10.0,,,
2025-09-30,Brooklyn,11.0,,,
2025-09-30,Brooklyn,12.0,,132.0,
2025-09-30,Brooklyn,13.0,,360.0,
2025-09-30,Brooklyn,14.0,168.0,78.0,
2025-09-30,Brooklyn,15.0,414.0,177.0,
2025-09-30,Brooklyn,16.0,551.0,2242.0,
2025-09-30,Brooklyn,17.0,158.0,1550.0,
2025-09-30,Brooklyn,18.0,283.0,791.0,
2025-09-30,Manhattan,1.0,516.0,,
2025-09-30,Manhattan,2.0,305.0,,
2025-09-30,Manhattan,3.0,97.0,99.0,
2025-09-30,Manhattan,4.0,1076.0,369.0,
2025-09-30,Manhattan,5.0,2521.0,384.0,
2025-09-30,Manhattan,6.0,254.0,593.0,
2025-09-30,Manhattan,7.0,931.0,335.0,
2025-09-30,Manhattan,8.0,537.0,,
2025-09-30,Manhattan,9.0,,611.0,
2025-09-30,Manhattan,10.0,,592.0,
2025-09-30,Manhattan,11.0,,503.0,
2025-09-30,Manhattan,12.0,,,
2025-09-30,Queens,1.0,3788.0,538.0,
2025-09-30,Queens,2.0,918.0,207.0,
2025-09-30,Queens,3.0,1951.0,826.0,
2025-09-30,Queens,4.0,,570.0,
2025-09-30,Queens,5.0,,222.0,
2025-09-30,Queens,6.0,,238.0,
2025-09-30,Queens,7.0,62.0,,
2025-09-30,Queens,8.0,144.0,289.0,
2025-09-30,Queens,9.0,,,
2025-09-30,Queens,10.0,679.0,,
2025-09-30,Queens,11.0,163.0,,
2025-09-30,Queens,12.0,6455.0,1327.0,
2025-09-30,Queens,13.0,460.0,604.0,
2025-09-30,Queens,14.0,435.0,,
2025-09-30,Staten Island,1.0,47.0,525.0,
2025-09-30,Staten Island,2.0,,137.0,
2025-09-30,Bronx,2.0,,758.0,
2025-09-30,Staten Island,3.0,,,
2025-08-31,Brooklyn,12.0,,139.0,
2025-08-31,Bronx,3.0,,1344.0,
2025-08-31,Staten Island,3.0,,,
2025-08-31,Staten Island,2.0,,135.0,
2025-08-31,Staten Island,1.0,48.0,536.0,
2025-08-31,Queens,14.0,451.0,,
2025-08-31,Queens,13.0,475.0,594.0,
2025-08-31,Queens,12.0,6681.0,1317.0,
2025-08-31,Queens,11.0,144.0,,
2025-08-31,Queens,10.0,691.0,,
2025-08-31,Queens,9.0,,,
2025-08-31,Queens,8.0,153.0,295.0,
2025-08-31,Queens,7.0,67.0,,
2025-08-31,Queens,6.0,,242.0,
2025-08-31,Queens,5.0,,242.0,
2025-08-31,Queens,4.0,,566.0,
2025-08-31,Queens,3.0,1975.0,808.0,
2025-08-31,Queens,2.0,939.0,218.0,
2025-08-31,Queens,1.0,3794.0,614.0,
2025-08-31,Manhattan,12.0,,,
2025-08-31,Manhattan,11.0,,503.0,
2025-08-31,Manhattan,10.0,,627.0,
2025-08-31,Manhattan,9.0,,608.0,
